ncodpers,added_products
658949,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1
658991,ind_cco_fin_ult1 ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
658232,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_ctpp_fin_ult1 ind_dela_fin_ult1 ind_ecue_fin_ult1 ind_nom_pens_ult1
658260,ind_nomina_ult1 ind_nom_pens_ult1 ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_cco_fin_ult1 ind_recibo_ult1 ind_dela_fin_ult1
658324,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
658297,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_ctpp_fin_ult1 ind_dela_fin_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1
658473,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_ecue_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1
658443,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1 ind_nom_pens_ult1 ind_dela_fin_ult1
658404,ind_tjcr_fin_ult1 ind_recibo_ult1 ind_fond_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_cno_fin_ult1 ind_nom_pens_ult1
655912,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1
655891,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
655788,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1 ind_fond_fin_ult1
655561,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1
655738,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1
655609,ind_tjcr_fin_ult1 ind_cno_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_ctop_fin_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1
655626,ind_recibo_ult1 ind_nom_pens_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_nomina_ult1 ind_tjcr_fin_ult1 ind_ecue_fin_ult1
656860,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_ecue_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
656668,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_ecue_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1
656686,ind_tjcr_fin_ult1 ind_recibo_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_nomina_ult1 ind_ecue_fin_ult1 ind_nom_pens_ult1
657125,ind_recibo_ult1 ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1
657121,ind_cno_fin_ult1 ind_recibo_ult1 ind_reca_fin_ult1 ind_cco_fin_ult1 ind_tjcr_fin_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1
656991,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_dela_fin_ult1 ind_cno_fin_ult1 ind_reca_fin_ult1
656987,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_ctpp_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1 ind_nomina_ult1
656350,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_fond_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_ecue_fin_ult1 ind_cno_fin_ult1
656323,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1
656408,ind_cco_fin_ult1 ind_tjcr_fin_ult1 ind_recibo_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1
656459,ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_tjcr_fin_ult1 ind_fond_fin_ult1 ind_ecue_fin_ult1 ind_reca_fin_ult1
661643,ind_cco_fin_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1
661817,ind_cco_fin_ult1 ind_ecue_fin_ult1 ind_recibo_ult1 ind_dela_fin_ult1 ind_cno_fin_ult1 ind_nom_pens_ult1 ind_reca_fin_ult1
661134,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_fond_fin_ult1 ind_ctpp_fin_ult1 ind_dela_fin_ult1 ind_ctma_fin_ult1
661164,ind_reca_fin_ult1 ind_cno_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1 ind_tjcr_fin_ult1
661223,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_ecue_fin_ult1 ind_cno_fin_ult1 ind_nom_pens_ult1 ind_dela_fin_ult1
661238,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_ctpp_fin_ult1 ind_cno_fin_ult1 ind_nomina_ult1
661225,ind_cco_fin_ult1 ind_dela_fin_ult1 ind_recibo_ult1 ind_tjcr_fin_ult1 ind_ecue_fin_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
661323,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_nom_pens_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1
661308,ind_recibo_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_reca_fin_ult1 ind_ecue_fin_ult1 ind_cno_fin_ult1 ind_tjcr_fin_ult1
661306,ind_cco_fin_ult1 ind_recibo_ult1 ind_nomina_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_tjcr_fin_ult1 ind_ctpp_fin_ult1
661907,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_cno_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1
662646,ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_cco_fin_ult1 ind_dela_fin_ult1 ind_valo_fin_ult1 ind_fond_fin_ult1 ind_ctpp_fin_ult1
662761,ind_tjcr_fin_ult1 ind_recibo_ult1 ind_reca_fin_ult1 ind_fond_fin_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1
662373,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1
662028,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_dela_fin_ult1 ind_cno_fin_ult1
662068,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_fond_fin_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1
661914,ind_cco_fin_ult1 ind_recibo_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_tjcr_fin_ult1 ind_nomina_ult1
662302,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1
662259,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_nomina_ult1 ind_ctpp_fin_ult1
662154,ind_tjcr_fin_ult1 ind_recibo_ult1 ind_fond_fin_ult1 ind_reca_fin_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1 ind_nomina_ult1
659736,ind_recibo_ult1 ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1
659733,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_ctpp_fin_ult1 ind_dela_fin_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1
659551,ind_cco_fin_ult1 ind_dela_fin_ult1 ind_cno_fin_ult1 ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_recibo_ult1 ind_nom_pens_ult1
660009,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_fond_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1
659212,ind_recibo_ult1 ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1
659200,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1
659192,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_nom_pens_ult1
659099,ind_cco_fin_ult1 ind_dela_fin_ult1 ind_ctpp_fin_ult1 ind_ctma_fin_ult1 ind_ecue_fin_ult1 ind_ctop_fin_ult1 ind_pres_fin_ult1
659053,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
659161,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_nomina_ult1
659133,ind_nom_pens_ult1 ind_nomina_ult1 ind_reca_fin_ult1 ind_cco_fin_ult1 ind_ctpp_fin_ult1 ind_tjcr_fin_ult1 ind_valo_fin_ult1
659447,ind_reca_fin_ult1 ind_cco_fin_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_ecue_fin_ult1
659433,ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1
659418,ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1
659390,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_fond_fin_ult1
660680,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1
660586,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
660885,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1
660867,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
660960,ind_cco_fin_ult1 ind_ecue_fin_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_recibo_ult1
660937,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_fond_fin_ult1
660261,ind_reca_fin_ult1 ind_cno_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1 ind_tjcr_fin_ult1
660225,ind_recibo_ult1 ind_cco_fin_ult1 ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_nom_pens_ult1
660223,ind_recibo_ult1 ind_fond_fin_ult1 ind_ecue_fin_ult1 ind_nomina_ult1 ind_ctpp_fin_ult1 ind_nom_pens_ult1 ind_dela_fin_ult1
660054,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
660049,ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_tjcr_fin_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1
660126,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1
660103,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_ecue_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1
660094,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_ecue_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1
660089,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1
660459,ind_nomina_ult1 ind_nom_pens_ult1 ind_tjcr_fin_ult1 ind_cno_fin_ult1 ind_reca_fin_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1
660462,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_ctpp_fin_ult1 ind_dela_fin_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1
660468,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_ctpp_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_ecue_fin_ult1 ind_nom_pens_ult1
660297,ind_recibo_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
660362,ind_recibo_ult1 ind_nom_pens_ult1 ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_cno_fin_ult1 ind_nomina_ult1 ind_ecue_fin_ult1
660354,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_cco_fin_ult1 ind_dela_fin_ult1 ind_ecue_fin_ult1 ind_nomina_ult1
650422,ind_recibo_ult1 ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1
650325,ind_recibo_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_nom_pens_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_tjcr_fin_ult1
650323,ind_recibo_ult1 ind_dela_fin_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1
650592,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_nomina_ult1 ind_ctpp_fin_ult1
650610,ind_cco_fin_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_recibo_ult1 ind_cno_fin_ult1
650530,ind_tjcr_fin_ult1 ind_recibo_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_fond_fin_ult1 ind_nomina_ult1
649863,ind_tjcr_fin_ult1 ind_cco_fin_ult1 ind_ctop_fin_ult1 ind_dela_fin_ult1 ind_pres_fin_ult1 ind_ctpp_fin_ult1 ind_reca_fin_ult1
649840,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1 ind_nomina_ult1
649744,ind_nom_pens_ult1 ind_nomina_ult1 ind_tjcr_fin_ult1 ind_cno_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_ecue_fin_ult1
649825,ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_cco_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1
649805,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_nom_pens_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1
650138,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_nom_pens_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1
650126,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1 ind_fond_fin_ult1
650015,ind_nom_pens_ult1 ind_nomina_ult1 ind_tjcr_fin_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1 ind_cno_fin_ult1 ind_reca_fin_ult1
650032,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_nomina_ult1 ind_ctpp_fin_ult1
651229,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_nom_pens_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1
651143,ind_ctop_fin_ult1 ind_ecue_fin_ult1 ind_recibo_ult1 ind_dela_fin_ult1 ind_ctpp_fin_ult1 ind_reca_fin_ult1 ind_nomina_ult1
651118,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_nomina_ult1 ind_ctpp_fin_ult1
651179,ind_recibo_ult1 ind_cno_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_deco_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1
651162,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_nom_pens_ult1
651576,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_ctpp_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1
651443,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
650778,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
650857,ind_tjcr_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1 ind_dela_fin_ult1
650696,ind_recibo_ult1 ind_reca_fin_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
650705,ind_recibo_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_fond_fin_ult1 ind_dela_fin_ult1
651056,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1
650937,ind_cco_fin_ult1 ind_cno_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1 ind_recibo_ult1 ind_tjcr_fin_ult1
650960,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1
648564,ind_reca_fin_ult1 ind_cco_fin_ult1 ind_recibo_ult1 ind_dela_fin_ult1 ind_ctop_fin_ult1 ind_pres_fin_ult1 ind_ecue_fin_ult1
648420,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_fond_fin_ult1 ind_dela_fin_ult1 ind_nomina_ult1 ind_ctpp_fin_ult1
648389,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
648471,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_nom_pens_ult1 ind_cco_fin_ult1 ind_dela_fin_ult1 ind_nomina_ult1 ind_valo_fin_ult1
648756,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_ctpp_fin_ult1 ind_cno_fin_ult1 ind_nomina_ult1
648378,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_fond_fin_ult1 ind_dela_fin_ult1 ind_ecue_fin_ult1 ind_cno_fin_ult1
648647,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_dela_fin_ult1 ind_cno_fin_ult1 ind_fond_fin_ult1
648146,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_nomina_ult1 ind_fond_fin_ult1 ind_nom_pens_ult1
647991,ind_recibo_ult1 ind_dela_fin_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1
647963,ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_ecue_fin_ult1
648002,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
648029,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1
648019,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_dela_fin_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1 ind_nom_pens_ult1
648208,ind_nom_pens_ult1 ind_tjcr_fin_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_reca_fin_ult1 ind_plan_fin_ult1 ind_ecue_fin_ult1
648217,ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_nomina_ult1 ind_dela_fin_ult1 ind_ctop_fin_ult1
648220,ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_recibo_ult1 ind_fond_fin_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1
649420,ind_recibo_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_ecue_fin_ult1
649397,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1
649390,ind_cco_fin_ult1 ind_ecue_fin_ult1 ind_recibo_ult1 ind_ctpp_fin_ult1 ind_dela_fin_ult1 ind_cno_fin_ult1 ind_nomina_ult1
649612,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1
649683,ind_tjcr_fin_ult1 ind_cco_fin_ult1 ind_recibo_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_nomina_ult1 ind_cno_fin_ult1
648913,ind_recibo_ult1 ind_reca_fin_ult1 ind_cco_fin_ult1 ind_dela_fin_ult1 ind_valo_fin_ult1 ind_plan_fin_ult1 ind_nomina_ult1
648848,ind_cco_fin_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1 ind_ctpp_fin_ult1 ind_tjcr_fin_ult1 ind_recibo_ult1 ind_cno_fin_ult1
